time,NINO1+2_sst,NINO3_sst,NINO3.4_sst,NINO4_sst,EPAC_mslp,INDO_mslp
2010-12-01,21.647644,23.860834,25.363695,27.247135,101246.336,100716.68
2011-01-01,23.871565,24.298403,24.999723,26.97914,101147.51,100798.445
2011-02-01,26.031384,25.527706,25.471243,26.956888,101156.99,100847.0
2011-03-01,25.943996,26.315907,26.348745,27.678436,101124.336,100841.08
2011-04-01,25.480137,27.167768,27.018059,27.732166,101069.92,100895.13
2011-05-01,24.684689,26.888668,27.464682,28.343208,101089.125,100905.445
2011-06-01,23.469257,26.559513,27.374434,28.336731,101155.57,100903.84
2011-07-01,22.18172,25.81235,27.070988,28.378426,101175.3,100917.59
2011-08-01,20.881863,24.75805,26.42309,28.463915,101238.78,100954.44
2011-09-01,20.00152,24.315908,26.021864,28.078737,101316.43,100999.4
2011-10-01,20.07552,24.227346,25.97704,27.939093,101322.86,100914.125
2011-11-01,21.002903,24.056078,25.751043,27.80243,101251.19,100831.71
2011-12-01,22.153584,24.241343,25.586824,27.369734,101181.42,100792.95
2012-01-01,23.752209,24.990004,25.765425,27.222853,101211.52,100863.086
2012-02-01,25.899517,26.074326,26.114977,27.422445,101102.055,100834.6
2012-03-01,26.425917,27.01149,26.735327,27.492685,100939.164,100862.05
2012-04-01,26.440153,27.441954,27.24224,27.94726,101059.71,100955.46
2012-05-01,25.347965,27.216549,27.654333,28.34245,101055.516,100864.59
2012-06-01,24.436335,27.150776,27.93836,28.486273,101091.31,100927.68
2012-07-01,22.06899,26.407553,27.536644,28.537762,101066.14,100906.47
